model,experiment,stage,global_epoch,subset_pct,train_loss,val_loss,train_acc,val_acc,wall_time
VGG,Baseline,1,1,1.0,2.0224279022216796,1.6607563247680663,0.25165,0.3676,28.201475620269775
VGG,Baseline,1,2,1.0,1.718536745262146,1.441711608505249,0.354825,0.4378,27.80052924156189
VGG,Baseline,1,3,1.0,1.5491471115112305,1.3047086139678956,0.421,0.5041,28.705626010894775
VGG,Baseline,1,4,1.0,1.4059798261642455,1.1341277284622193,0.482975,0.5778,29.1347758769989
VGG,Baseline,1,5,1.0,1.3080636919021607,1.0860658504486085,0.52335,0.6008,27.453590393066406
VGG,Baseline,1,6,1.0,1.2192341115951537,1.0440898021697997,0.562075,0.613,27.892054796218872
VGG,Baseline,1,7,1.0,1.1488659778594972,0.9310050277709961,0.5876,0.6521,27.868197679519653
VGG,Baseline,1,8,1.0,1.0796043167114258,0.8762878860473633,0.614175,0.6773,27.721017837524414
VGG,Baseline,1,9,1.0,1.028262654685974,0.8349101027488709,0.63675,0.7012,28.944000720977783
VGG,Baseline,1,10,1.0,0.9767152660369873,0.7716416125297546,0.65575,0.72,27.733980417251587
VGG,Baseline,1,11,1.0,0.9260736982345581,0.7288788843154907,0.673425,0.7358,27.788755655288696
VGG,Baseline,1,12,1.0,0.8938036703109741,0.7041868313789368,0.687375,0.7399,28.18346333503723
VGG,Baseline,1,13,1.0,0.8541702520370483,0.656106825351715,0.703475,0.7683,27.97941493988037
VGG,Baseline,1,14,1.0,0.8189376962661743,0.6491239819526672,0.71465,0.77,28.544524669647217
VGG,Baseline,1,15,1.0,0.7899912403106689,0.605330953502655,0.727275,0.7859,28.885770797729492
VGG,Baseline,1,16,1.0,0.75873024559021,0.5970040409088134,0.73865,0.7909,28.461750268936157
VGG,Baseline,1,17,1.0,0.7250697442054749,0.5686656469345093,0.75215,0.8003,28.277960538864136
VGG,Baseline,1,18,1.0,0.6978661293029785,0.5475024335861206,0.759475,0.8095,28.1969313621521
VGG,Baseline,1,19,1.0,0.675284419631958,0.5096769510269165,0.769075,0.8212,28.232491731643677
VGG,Baseline,1,20,1.0,0.6533736672401428,0.5173928239822387,0.775625,0.8164,28.59404182434082
VGG,Baseline,1,21,1.0,0.6351985968589783,0.49046567153930665,0.7826,0.8275,28.62466335296631
VGG,Baseline,1,22,1.0,0.6141645651817321,0.4820685028076172,0.7932,0.8331,28.335326671600342
VGG,Baseline,1,23,1.0,0.5992592017173767,0.4532778151512146,0.794275,0.8457,28.237487077713013
VGG,Baseline,1,24,1.0,0.5794764502525329,0.4630250564575195,0.8027,0.8406,28.37101149559021
VGG,Baseline,1,25,1.0,0.5605933703899384,0.43317186317443845,0.80935,0.853,28.80075454711914
